,Brand_name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice_classification,Owner
39,BMW,,National Trademark Registration,Indonesia,Expired,,IDM000017330,DGIP (Indonesia),30,A J U B dan IRAWAN SUSANTO (Indonesia)
40,BMW,,National Trademark Application,Indonesia,Ended,,D002011048161,DGIP (Indonesia),25,BUDIHARDJO KHONO (Indonesia)
41,BMW,,National Trademark Registration,Indonesia,Registered,,IDM000023536,DGIP (Indonesia),25,Bayerische Motoren Werke Aktiengesellschaft (Germany)
42,BMW,,National Trademark Registration,Indonesia,Registered,,IDM000116658,DGIP (Indonesia),25,Bayerische Motoren Werke Aktiengesellschaft (Germany)
43,BMW,,National Trademark Application,Indonesia,Ended,,D002011022256,DGIP (Indonesia),25,Ir. Hikmat R. (Indonesia)
44,BMW,,National Trademark Registration,Philippines,Registered,,1320641,IPOPHL (Philippines),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
45,BMW,,National Trademark Registration,Philippines,Registered,,9101,IPOPHL (Philippines),25,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
46,BMW,,National Trademark Registration,Tunisia,Registered,,100/1320641,INNORPI (Tunisia),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
47,BMW,,National Trademark Registration,USA,Registered,,2752258,USPTO (USA),"9, 7, 18, 6, 28, 16, 4, 3, 14, 25, 12, 11, 21, 20",Bayerische Motoren Werke Aktiengesellschaft (Germany)
48,BMW,,National Trademark Registration,Malaysia,Registered,,06016361,MyIPO (Malaysia),36,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
49,BMW,,National Trademark Application,Malaysia,Ended,,M/095266,MyIPO (Malaysia),9,TAI KWONG BATTERY INDUSTRIES SDN. BHD. (Malaysia)
50,BMW,,National Trademark Registration,Uruguay,Expired,,178403,MIEM-DNPI (Uruguay),"7, 12, 22",BAYERISCHE MOTOREN WERKE AG. (Uruguay)
51,BMW,,National Trademark Application,Thailand,Ended,,259356,DIP (Thailand),11,นายวันชัย บุญยรัตน์พันธ์
52,BMW,,National Trademark Application,Thailand,Pending,,190129661,DIP (Thailand),14,ไบเออริสเช่ โมโตเรน เวอร์เค้อ อัคเทียนเกเซลล์ชาฟท์
53,BMW,,National Trademark Application,Thailand,Pending,,190129666,DIP (Thailand),7,ไบเออริสเช่ โมโตเรน เวอร์เค้อ อัคเทียนเกเซลล์ชาฟท์
54,BMW,,National Trademark Registration,Namibia,Registered,,1998001316,BIPA (Namibia),42,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
55,BMW,,National Trademark Application,Namibia,Pending,,NA/T/1998/981316,BIPA (Namibia),42,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT a German company (Germany)
56,bmw,,National Trademark Registration,Singapore,Registered,,T6640741C,IPOS (Singapore),7,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
57,BMW,,National Trademark Application,Philippines,Ended,,42010003331,IPOPHL (Philippines),34,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
58,BMW,,National Trademark Registration,Japan,Registered,,3108005,JPO (Japan),35,バイエリシエ・モト―レンウエルケ・アクチエンゲゼルシヤフト
59,BMW,,National Trademark Registration,Japan,Registered,,3130786,JPO (Japan),40,バイエリシエ・モト―レンウエルケ・アクチエンゲゼルシヤフト
60,BMW,,National Trademark Registration,Japan,Registered,,4919217,JPO (Japan),36,バイエリシエ・モトーレンウエルケ・アクチエンゲゼルシヤフト
61,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001147930000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
